Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Borough
216498,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2013,06/01/2013,34.64,,Brooklyn
216499,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2014,06/01/2014,33.22,,Brooklyn
219969,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2013,06/01/2013,31.25,,Bronx
219970,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2014,06/01/2014,31.15,,Bronx
164876,383,Sulfur Dioxide (SO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Winter 2008-09,12/01/2008,5.89,,Bronx
164877,383,Sulfur Dioxide (SO2),Mean,ppb,CD,212,Williamsbridge and Baychester (CD12),Winter 2008-09,12/01/2008,5.75,,Bronx
219971,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2009,06/01/2009,26.27,,Brooklyn
219972,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2010,06/01/2010,33.83,,Brooklyn
164878,383,Sulfur Dioxide (SO2),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Winter 2008-09,12/01/2008,4.33,,Brooklyn
164879,383,Sulfur Dioxide (SO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Winter 2008-09,12/01/2008,4.41,,Brooklyn
164880,383,Sulfur Dioxide (SO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Winter 2008-09,12/01/2008,4.73,,Brooklyn
164881,383,Sulfur Dioxide (SO2),Mean,ppb,CD,304,Bushwick (CD4),Winter 2008-09,12/01/2008,4.71,,Brooklyn
164882,383,Sulfur Dioxide (SO2),Mean,ppb,CD,305,East New York and Starrett City (CD5),Winter 2008-09,12/01/2008,3.78,,Others Boroughs
164883,383,Sulfur Dioxide (SO2),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Winter 2008-09,12/01/2008,3.94,,Brooklyn
164884,383,Sulfur Dioxide (SO2),Mean,ppb,CD,307,Sunset Park (CD7),Winter 2008-09,12/01/2008,3.78,,Brooklyn
164885,383,Sulfur Dioxide (SO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Winter 2008-09,12/01/2008,4.79,,Brooklyn
219973,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2011,06/01/2011,33.19,,Brooklyn
219974,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2012,06/01/2012,33.89,,Brooklyn
219975,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2013,06/01/2013,31.13,,Brooklyn
219976,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2014,06/01/2014,31.29,,Brooklyn
164930,383,Sulfur Dioxide (SO2),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Winter 2009-10,12/01/2009,5.3,,Bronx
164931,383,Sulfur Dioxide (SO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2009-10,12/01/2009,7.49,,Bronx
130355,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,101,Kingsbridge - Riverdale,2005-2007,01/01/2005,117.7,,Bronx
130356,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,102,Northeast Bronx,2005-2007,01/01/2005,77.3,,Bronx
130357,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,103,Fordham - Bronx Pk,2005-2007,01/01/2005,67.3,,Bronx
130358,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,104,Pelham - Throgs Neck,2005-2007,01/01/2005,73.6,,Bronx
130359,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,105,Crotona -Tremont,2005-2007,01/01/2005,65.8,,Bronx
130360,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,106,High Bridge - Morrisania,2005-2007,01/01/2005,84.8,,Bronx
130361,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,107,Hunts Point - Mott Haven,2005-2007,01/01/2005,71.0,,Bronx
130362,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,201,Greenpoint,2005-2007,01/01/2005,64.0,,Brooklyn
