spec,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,model_id,model_id_cqa,model_make_id_cqa,model_name_cqa,model_trim_cqa,model_year_cqa,model_body_cqa,model_engine_position_cqa,model_engine_cc_cqa,model_engine_cyl_cqa,model_engine_type_cqa,model_engine_valves_per_cyl_cqa,model_engine_power_ps_cqa,model_engine_power_rpm_cqa,model_engine_torque_nm_cqa,model_engine_torque_rpm_cqa,model_engine_bore_mm_cqa,model_engine_stroke_mm_cqa,model_engine_compression_cqa,model_engine_fuel_cqa,model_top_speed_kph_cqa,model_0_to_100_kph_cqa,model_drive_cqa,model_transmission_type_cqa,model_seats_cqa,model_doors_cqa,model_weight_kg_cqa,model_length_mm_cqa,model_width_mm_cqa,model_height_mm_cqa,model_wheelbase_mm_cqa,model_lkm_hwy_cqa,model_lkm_mixed_cqa,model_lkm_city_cqa,model_fuel_cap_l_cqa,model_sold_in_us_cqa,model_co2_cqa,model_make_display_cqa,model_engine_l_cqa,model_engine_ci_cqa,model_engine_bore_in_cqa,model_engine_stroke_in_cqa,model_engine_valves_cqa,model_engine_power_hp_cqa,model_engine_power_kw_cqa,model_engine_torque_lbft_cqa,model_engine_torque_kgm_cqa,model_top_speed_mph_cqa,model_weight_lbs_cqa,model_length_in_cqa,model_width_in_cqa,model_height_in_cqa,model_wheelbase_in_cqa,model_mpg_hwy_cqa,model_mpg_city_cqa,model_mpg_mixed_cqa,model_fuel_cap_g_cqa,make_display_cqa,make_country_cqa,ExtColors_cqa,IntColors_cqa,Model_ID
1.4 16v T-Jet,47.3,58.2,67.0,70.2,72.9,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Competizione,49.9,65.7,69.0,72.3,73.1,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3.5 V6,41.7,51.7,57.9,61.2,64.0,66.8,57614.0,57614.0,acura,MDX,AWD,2013.0,SUV,Front,3700.0,6.0,V,4.0,304.0,6300.0,366.0,4500.0,90.0,96.0,11.2,Gasoline,,,AWD,6-speed automatic,7.0,5.0,2069.0,4867.0,2238.0,1733.0,2750.0,8.7,,12.3,79.0,1.0,,Acura,3.7,226.0,3.54,3.78,24.0,300.0,224.0,270.0,37.0,,4561.0,191.6,88.1,68.2,108.3,27.0,19.0,,20.9,Acura,USA,,,2
3.5 V6,43.0,54.4,61.5,65.5,67.7,69.9,48595.0,48595.0,acura,RDX,SH-AWD,2012.0,SUV,Front,2300.0,4.0,in-line,4.0,243.0,6000.0,352.0,4500.0,,,,Gasoline,,,AWD,5-speed shiftable automatic,5.0,5.0,1783.0,4636.0,1869.0,1654.0,2649.0,10.7,,13.8,68.0,1.0,,Acura,2.3,140.0,,,16.0,240.0,179.0,260.0,36.0,,3931.0,182.5,73.6,65.1,104.3,22.0,17.0,,18.0,Acura,USA,,,3
3.7 V6,43.6,55.5,63.0,66.9,70.2,73.5,299.0,299.0,acura,RL,Sedan,2009.0,Sedan,Front,3664.0,6.0,V,4.0,304.0,6300.0,367.0,5000.0,,,11.0:1,Gasoline,,,4WD,Automatic,5.0,4.0,,4980.0,1850.0,1460.0,2810.0,10.7,13.1,14.7,73.0,1.0,,Acura,3.7,224.0,,,24.0,300.0,224.0,271.0,37.0,,,196.1,72.8,57.5,110.6,22.0,16.0,18.0,19.3,Acura,USA,,,4
3.5 V6,39.5,49.7,56.0,59.3,62.4,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3.5 V6,42.2,51.1,56.7,59.4,62.6,65.9,67468.0,67468.0,Acura,RLX,Krell Audio Package 4dr Sedan (3.5L 6cyl 6A),2016.0,Midsize Cars,Front,3500.0,6.0,V,4.0,310.0,,272.0,,,,11.5,Premium Unleaded (Required),,,Front Wheel Driv,Automatic,,4.0,3981.0,,,,,31.0,24.0,20.0,19.0,1.0,,Acura,3.5,214.0,,,24.0,306.0,228.0,201.0,28.0,,8777.0,,,,,8.0,12.0,10.0,5.0,Acura,USA,,,6
3.5 V6,40.2,54.5,63.3,68.6,70.1,71.7,380.0,380.0,acura,TL,,2009.0,Sedan,Front,3471.0,6.0,V,4.0,280.0,6200.0,254.0,5000.0,,,11.2:1,Gasoline,,,Front,Automatic,5.0,4.0,,4970.0,1890.0,1460.0,2780.0,9.2,11.3,13.2,70.0,1.0,,Acura,3.5,212.0,,,24.0,276.0,206.0,187.0,26.0,,,195.7,74.4,57.5,109.4,26.0,18.0,21.0,18.5,Acura,USA,,,7
3.7 V6,39.9,48.4,53.8,56.2,60.2,64.2,44336.0,44336.0,acura,TL,SH-AWD,2010.0,Sedan,Front,3700.0,6.0,V,4.0,309.0,6300.0,370.0,5000.0,,,,Gasoline,,,AWD,Automatic,5.0,4.0,1797.0,4966.0,1880.0,1453.0,2776.0,9.4,,13.8,70.0,1.0,,Acura,3.7,226.0,,,24.0,305.0,227.0,273.0,38.0,,3962.0,195.5,74.0,57.2,109.3,25.0,17.0,,18.5,Acura,USA,,,8
2.4,42.2,54.0,61.2,65.2,67.9,70.5,296.0,296.0,acura,TSX,Automatic,2009.0,Sedan,Front,2354.0,4.0,in-line,4.0,204.0,7000.0,231.0,4300.0,,,11.2:1,Gasoline,,,Front,Automatic,5.0,4.0,1788.0,4730.0,1850.0,1450.0,2710.0,7.8,9.4,11.2,70.0,1.0,,Acura,2.4,144.0,,,16.0,201.0,150.0,170.0,24.0,,3942.0,186.2,72.8,57.1,106.7,30.0,21.0,25.0,18.5,Acura,USA,,,9
V6,42.4,54.3,61.7,65.5,69.0,72.6,44339.0,44339.0,acura,TSX,,2010.0,Sedan,Front,2400.0,4.0,in-line,4.0,204.0,7000.0,233.0,4300.0,,,,Gasoline,,,Front,Manual,5.0,4.0,1542.0,4714.0,1839.0,1438.0,2708.0,8.4,,11.8,70.0,1.0,,Acura,2.4,146.0,,,16.0,201.0,150.0,172.0,24.0,,3399.0,185.6,72.4,56.6,106.6,28.0,20.0,,18.5,Acura,USA,,,10
Stationcar,48.8,56.7,61.7,64.2,66.6,69.1,44340.0,44340.0,acura,TSX,,2011.0,Sedan,Front,2400.0,4.0,in-line,4.0,204.0,7000.0,230.0,4300.0,,,,Gasoline,,,Front,Automatic,5.0,4.0,1574.0,4714.0,1839.0,1438.0,2708.0,7.6,,10.7,70.0,1.0,,Acura,2.4,146.0,,,16.0,201.0,150.0,170.0,23.0,,3470.0,185.6,72.4,56.6,106.6,31.0,22.0,,18.5,Acura,USA,,,11
1.9 JTDm,44.9,55.2,63.5,67.0,69.1,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
2.2 JTS,44.5,54.8,63.0,67.2,68.5,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
2.2 JTS Selespeed,44.5,54.8,63.0,67.2,68.5,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
 ,50.1,75.2,76.1,76.9,81.3,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2.1d,44.9,59.8,63.5,67.3,69.1,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
2.9 V6,47.9,60.8,64.0,67.3,70.1,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
2.0,41.1,52.6,58.9,65.8,68.2,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
1.4,44.1,60.5,64.0,66.0,68.5,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
1.6 JTDm,43.7,53.8,61.9,66.2,67.3,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
1.4T,42.1,58.8,61.1,63.5,66.5,68.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
2.0 JTDm,45.2,55.7,64.0,68.0,69.6,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
1.4,46.9,56.5,61.8,66.8,69.2,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
1.6d,47.1,56.1,61.5,66.3,68.7,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
1.9 JTDm Q2,41.9,51.5,59.2,63.8,64.4,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
1.4 Turbo 155,45.1,55.5,63.8,68.5,69.4,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
1.6 JTDm,46.6,57.4,66.0,70.3,71.7,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
1.4 Turbo Multi-Air,42.0,62.3,66.4,68.5,72.9,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
2.0,42.9,57.8,61.0,64.3,66.2,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
