Model_ID,Year,Brand_ID,Model_Name
0,2023,1         ,Integra                                        
1,2023,1         ,Integra A-SPEC                                 
2,2023,1         ,Integra A-SPEC                                 
3,2023,1         ,MDX SH-AWD                                     
4,2023,1         ,MDX SH-AWD Type S                              
5,2023,1         ,RDX SH-AWD                                     
6,2023,1         ,RDX SH-AWD A-SPEC                              
7,2023,1         ,TLX SH-AWD                                     
8,2023,1         ,TLX SH-AWD A-SPEC                              
9,2023,1         ,TLX Type S                                     
10,2023,3    ,Giulia                                         
11,2023,3    ,Giulia AWD                                     
12,2023,3    ,Giulia Quadrifoglio                            
13,2023,3    ,Stelvio                                        
14,2023,3    ,Stelvio AWD                                    
15,2023,3    ,Stelvio AWD Quadrifoglio                       
16,2023,3    ,Tonale AWD                                     
17,2023,5  ,DB11 V8                                        
18,2023,5  ,DB11 V12                                       
19,2023,5  ,DBS V12                                        
20,2023,5  ,DBX V8                                         
21,2023,5  ,DBX707                                         
22,2023,5  ,Vantage V8                                     
23,2023,5  ,V12 Vantage                                    
24,2023,6          ,A3 40 TFSI quattro                             
25,2023,6          ,A4 Sedan 45 TFSI quattro                       
26,2023,6          ,A4 allroad 45 TFSI quattro                     
27,2023,6          ,A5 Cabriolet 45 TFSI quattro                   
28,2023,6          ,A5 Coup� 45 TFSI quattro                       
29,2023,6          ,A5 Sportback 45 TFSI quattro                   
30,2023,6          ,A6 45 TFSI quattro                             
31,2023,6          ,A6 55 TFSI quattro                             
32,2023,6          ,A6 allroad 55 TFSI quattro                     
33,2023,6          ,A7 Sportback 55 TFSI quattro                   
34,2023,6          ,A8 L Sedan 55 TFSI quattro                     
35,2023,6          ,Q3 40 TFSI quattro                             
36,2023,6          ,Q3 45 TFSI quattro                             
37,2023,6          ,Q5 40 TFSI quattro                             
38,2023,6          ,Q5 45 TFSI quattro                             
39,2023,6          ,Q5 Sportback 45 TFSI quattro                   
40,2023,6          ,Q7 45 TFSI quattro                             
41,2023,6          ,Q7 55 TFSI quattro                             
42,2023,6          ,Q8 55 TFSI quattro                             
43,2023,6          ,R8 Coup� Performance                           
44,2023,6          ,R8 Coup� Performance quattro                   
45,2023,6          ,R8 Spyder Performance                          
46,2023,6          ,R8 Spyder Performance quattro                  
47,2023,6          ,R8 GT Coup�                                    
48,2023,6          ,RS 5 Coup� quattro                             
49,2023,6          ,RS 5 Sportback quattro                         
50,2023,6          ,RS 6 Avant quattro                             
51,2023,6          ,RS 7 Sportback quattro                         
52,2023,6          ,RS Q8 quattro                                  
53,2023,6          ,S3 quattro                                     
54,2023,6          ,S4 Sedan quattro                               
55,2023,6          ,S5 Cabriolet quattro                           
56,2023,6          ,S5 Coup� quattro                               
57,2023,6          ,S5 Sportback quattro                           
58,2023,6          ,S6 quattro                                     
59,2023,6          ,S7 quattro                                     
60,2023,6          ,S8 Sedan quattro                               
61,2023,6          ,SQ5 quattro                                    
62,2023,6          ,SQ5 Sportback quattro                          
63,2023,6          ,SQ7 quattro                                    
64,2023,6          ,SQ8 quattro                                    
65,2023,6          ,TT Coup� 45 TFSI quattro                       
66,2023,6          ,TT Roadster 45 TFSI quattro                    
67,2023,6          ,TTS Coup� quattro                              
68,2023,7       ,Bentayga                                       
69,2023,7       ,Bentayga EWB                                   
70,2023,7       ,Bentayga Speed                                 
71,2023,7       ,Continental GT                                 
72,2023,7       ,Continental GT Speed                           
73,2023,7       ,Continental GTC                                
74,2023,7       ,Continental GTC Speed                          
75,2023,7       ,Flying Spur                                    
76,2023,7       ,Flying Spur Speed                              
77,2023,8           ,230i xDrive Coupe                              
78,2023,8           ,330i xDrive Sedan                              
79,2023,8           ,430i xDrive Cabriolet                          
80,2023,8           ,430i xDrive Coupe                              
81,2023,8           ,530i xDrive Sedan                              
82,2023,8           ,540i xDrive Sedan                              
83,2023,8           ,760i xDrive Sedan                              
84,2023,8           ,ALPINA B8 Gran Coupe                           
85,2023,8           ,ALPINA XB7                                     
86,2023,8           ,M2 Coupe                                       
87,2023,8           ,M2 Coupe                                       
88,2023,8           ,M240i xDrive Coupe                             
89,2023,8           ,M3 Sedan                                       
90,2023,8           ,M3 Competition M xDrive Sedan                  
91,2023,8           ,M340i xDrive Sedan                             
92,2023,8           ,M4 Competition M xDrive Cabriolet              
93,2023,8           ,M4 Coupe                                       
94,2023,8           ,M4 Competition M xDrive Coupe                  
95,2023,8           ,M4 CSL Coupe                                   
96,2023,8           ,M440i xDrive Cabriolet                         
97,2023,8           ,M440i xDrive Coupe                             
98,2023,8           ,M5 Sedan                                       
99,2023,8           ,M5 Competition Sedan                           
100,2023,8           ,M550i xDrive Sedan                             
101,2023,8           ,M8 Competition Cabriolet                       
102,2023,8           ,M8 Competition Coupe                           
103,2023,8           ,M8 Competition Gran Coupe                      
104,2023,8           ,M850i xDrive Cabriolet                         
105,2023,8           ,M850i xDrive Coupe                             
106,2023,8           ,M850i xDrive Gran Coupe                        
107,2023,8           ,X1 xDrive28i                                   
108,2023,8           ,X3 xDrive30i                                   
109,2023,8           ,X3 M                                           
110,2023,8           ,X3 M Competition                               
111,2023,8           ,X3 M40i                                        
112,2023,8           ,X4 xDrive30i                                   
113,2023,8           ,X4 M                                           
114,2023,8           ,X4 M Competition                               
115,2023,8           ,X4 M40i                                        
116,2023,8           ,X5 xDrive40i                                   
117,2023,8           ,X5 M                                           
118,2023,8           ,X5 M Competition                               
119,2023,8           ,X5 M50i                                        
120,2023,8           ,X6 xDrive40i                                   
121,2023,8           ,X6 M                                           
122,2023,8           ,X6 M Competition                               
123,2023,8           ,X6 M50i                                        
124,2023,8           ,X7 xDrive40i                                   
125,2023,8           ,X7 M60i xDrive                                 
126,2023,8           ,Z4 sDrive30i                                   
127,2023,8           ,Z4 M40i                                        
128,2023,9       ,Chiron                                         
129,2023,9       ,Chiron Pur Sport                               
130,2023,9       ,Chiron Super Sport                             
131,2023,10         ,Enclave AWD                                    
132,2023,10         ,Encore GX                                      
133,2023,10         ,Encore GX                                      
134,2023,10         ,Encore GX AWD                                  
135,2023,10         ,Envision                                       
136,2023,10         ,Envision AWD                                   
137,2023,12      ,CT4                                            
138,2023,12      ,CT4                                            
139,2023,12      ,CT4 AWD                                        
140,2023,12      ,CT4 AWD                                        
141,2023,12      ,CT4-V                                          
142,2023,12      ,CT4-V AWD                                      
143,2023,12      ,CT4-V Blackwing                                
144,2023,12      ,CT4-V Blackwing                                
145,2023,12      ,CT5                                            
146,2023,12      ,CT5                                            
147,2023,12      ,CT5 AWD                                        
148,2023,12      ,CT5 AWD                                        
149,2023,12      ,CT5-V                                          
150,2023,12      ,CT5-V AWD                                      
151,2023,12      ,CT5-V Blackwing                                
152,2023,12      ,CT5-V Blackwing                                
153,2023,12      ,Escalade 4WD                                   
154,2023,12      ,Escalade 4WD                                   
155,2023,12      ,Escalade-V AWD                                 
