Model_ID,Brand_ID,Model_Name,Year
0,0,500,2008.0
1,0,595,2017.0
2,1,MDX,2013.0
3,1,RDX,2012.0
4,1,RL,2009.0
5,1,RLX,2013.0
6,1,RLX,2016.0
7,1,TL,2009.0
8,1,TL,2010.0
9,1,TSX,2009.0
10,1,TSX,2010.0
11,1,TSX,2011.0
12,3,147,2008.0
13,3,159,2008.0
14,3,159,2008.0
15,3,4C,2014.0
16,3,Giulia,2017.0
17,3,Giulia,2017.0
18,3,Giulia,2018.0
19,3,Giulietta,2010.0
20,3,Giulietta,2011.0
21,3,Giulietta,2012.0
22,3,Giulietta,2012.0
23,3,Giulietta,2018.0
24,3,Giulietta,2018.0
25,3,GT,2008.0
26,3,MiTo,2008.0
27,3,MiTo,2009.0
28,3,MiTo,2010.0
29,3,Stelvio,2017.0
30,3,Stelvio,2017.0
31,4,B7,2011.0
32,5,Rapide,2013.0
33,6,A1,2010.0
34,6,A1,2014.0
35,6,A1,2018.0
36,6,A1,2018.0
37,6,A3,2008.0
38,6,A3,2009.0
39,6,A3,2010.0
40,6,A3,2010.0
41,6,A3,2011.0
42,6,A3,2012.0
43,6,A3,2012.0
44,6,A3,2013.0
45,6,A3,2013.0
46,6,A3,2014.0
47,6,A3,2014.0
48,6,A3,2014.0
49,6,A3,2016.0
50,6,A3,2016.0
51,6,A3,2016.0
52,6,A3,2018.0
53,6,A3,2018.0
54,6,A4,2008.0
55,6,A4,2008.0
56,6,A4,2008.0
57,6,A4,2009.0
58,6,A4,2011.0
59,6,A4,2011.0
60,6,A4,2012.0
61,6,A4,2012.0
62,6,A4,2012.0
63,6,A4,2014.0
64,6,A4,2014.0
65,6,A4,2014.0
66,6,A4,2015.0
67,6,A4,2015.0
68,6,A4,2016.0
69,6,A4,2016.0
70,6,A4,2017.0
71,6,A5,2008.0
72,6,A5,2009.0
73,6,A5,2010.0
74,6,A5,2010.0
75,6,A5,2012.0
76,6,A5,2016.0
77,6,A5,2018.0
78,6,A6,2009.0
79,6,A6,2009.0
80,6,A6,2010.0
81,6,A6,2010.0
82,6,A6,2011.0
83,6,A6,2011.0
84,6,A6,2011.0
85,6,A6,2012.0
86,6,A6,2012.0
87,6,A6,2015.0
88,6,A6,2015.0
89,6,A6,2016.0
90,6,A6,2016.0
91,6,A6,2016.0
92,6,A6,2016.0
93,6,A6,2017.0
94,6,A6,2017.0
95,6,A6,2017.0
96,6,A6,2017.0
97,6,A7,2011.0
98,6,A8,2008.0
99,6,A8,2010.0
100,6,A8,2010.0
101,6,A8,2011.0
102,6,A8,2012.0
103,6,A8,2014.0
104,6,Q2,2017.0
105,6,Q2,2018.0
106,6,Q2,2018.0
107,6,Q3,2011.0
108,6,Q3,2015.0
109,6,Q3,2016.0
110,6,Q3,2016.0
111,6,Q3,2018.0
112,6,Q3 RS,2015.0
113,6,Q5,2008.0
114,6,Q5,2009.0
115,6,Q5,2009.0
116,6,Q5,2011.0
117,6,Q5,2012.0
118,6,Q5,2012.0
119,6,Q5,2014.0
120,6,Q5,2014.0
121,6,Q5,2014.0
122,6,Q5,2016.0
123,6,Q5,2017.0
124,6,Q5,2017.0
125,6,Q5,2017.0
126,6,Q5,2018.0
127,6,Q7,2010.0
128,6,Q7,2015.0
129,6,Q7,2016.0
130,6,Q7,2017.0
131,6,R8,2009.0
132,6,R8,2010.0
133,6,R8,2016.0
134,6,R8,2017.0
135,6,R8,2017.0
136,6,RS4,2008.0
137,6,RS5,2012.0
138,6,RS5,2017.0
139,6,RS7,2017.0
140,6,S3,2014.0
141,6,S3,2017.0
142,6,S4,2009.0
143,6,S5,2008.0
144,6,S8,2016.0
145,6,SQ5,2014.0
146,6,SQ5,2016.0
147,6,SQ5,2017.0
148,6,SQ7,2017.0
149,6,TT,2008.0
150,6,TT,2008.0
151,6,TT,2009.0
152,6,TT,2014.0
153,6,TT,2016.0
154,6,TT,2017.0
155,6,TT,2017.0
156,6,TT,2018.0
157,6,TT Roadster,2015.0
158,6,TTS,2008.0
159,6,TTS,2016.0
160,6,TTS,2016.0
161,7,Bentayga,2016.0
162,7,Bentayga,2017.0
163,7,Continental,2010.0
164,7,Continental GT,2012.0
165,7,Continental GT,2013.0
166,8,1,2008.0
167,8,1,2008.0
168,8,1,2008.0
169,8,1,2008.0
170,8,1,2008.0
171,8,1,2008.0
172,8,1,2008.0
173,8,1,2009.0
174,8,1,2010.0
175,8,1,2010.0
176,8,1,2011.0
177,8,1,2011.0
178,8,1,2011.0
179,8,1,2011.0
180,8,1,2012.0
181,8,1,2012.0
182,8,1,2012.0
183,8,1,2013.0
184,8,1,2013.0
185,8,1,2013.0
186,8,1,2013.0
187,8,1,2013.0
188,8,1,2015.0
189,8,1,2016.0
190,8,1,2017.0
191,8,1,2017.0
192,8,1,2017.0
193,8,1,2018.0
194,8,2,2014.0
195,8,2,2015.0
196,8,2,2015.0
197,8,2,2015.0
198,8,2,2015.0
199,8,2,2016.0
200,8,2,2016.0
201,8,2,2017.0
202,8,2,2018.0
203,8,2,2018.0
204,8,2,2018.0
205,8,3,2008.0
206,8,3,2008.0
207,8,3,2008.0
208,8,3,2008.0
209,8,3,2009.0
210,8,3,2009.0
211,8,3,2009.0
212,8,3,2009.0
213,8,3,2010.0
214,8,3,2011.0
215,8,3,2011.0
216,8,3,2012.0
217,8,3,2012.0
218,8,3,2012.0
219,8,3,2012.0
220,8,3,2013.0
221,8,3,2014.0
222,8,3,2014.0
223,8,3,2014.0
224,8,3,2015.0
225,8,3,2016.0
226,8,3,2016.0
227,8,3,2017.0
228,8,3,2018.0
229,8,4,2014.0
230,8,4,2016.0
231,8,4,2017.0
232,8,5,2008.0
233,8,5,2008.0
234,8,5,2009.0
235,8,5,2010.0
236,8,5,2010.0
237,8,5,2010.0
238,8,5,2010.0
239,8,5,2011.0
240,8,5,2011.0
241,8,5,2011.0
242,8,5,2011.0
243,8,5,2012.0
244,8,5,2012.0
245,8,5,2012.0
246,8,5,2015.0
247,8,5,2015.0
248,8,5,2016.0
249,8,5,2016.0
250,8,5,2016.0
251,8,5,2016.0
252,8,5,2017.0
253,8,5,2017.0
254,8,5,2017.0
255,8,5,2017.0
256,8,5,2017.0
257,8,5,2018.0
258,8,5,2018.0
259,8,6,2012.0
260,8,6,2012.0
261,8,6,2012.0
262,8,7,2009.0
263,8,7,2009.0
264,8,7,2010.0
265,8,7,2010.0
266,8,7,2011.0
267,8,7,2013.0
268,8,7,2014.0
269,8,7,2016.0
270,8,7,2017.0
271,8,i3,2014.0
272,8,i3,2017.0
273,8,i3,2018.0
274,8,i8,2014.0
275,8,M2,2016.0
276,8,M2,2017.0
277,8,M3,2008.0
278,8,M3,2008.0
279,8,M3,2013.0
280,8,M3,2014.0
281,8,M3,2017.0
282,8,M4,2017.0
283,8,M4,2017.0
284,8,M5,2012.0
285,8,M6,2012.0
286,8,M6,2017.0
287,8,X1,2011.0
288,8,X1,2011.0
289,8,X1,2013.0
290,8,X1,2015.0
291,8,X1,2016.0
292,8,X1,2017.0
293,8,X1,2018.0
