ID_Zona,Distrito,Zona
4,Manhattan,Alphabet City
12,Manhattan,Battery Park
13,Manhattan,Battery Park City
24,Manhattan,Bloomingdale
41,Manhattan,Central Harlem
42,Manhattan,Central Harlem North
43,Manhattan,Central Park
45,Manhattan,Chinatown
48,Manhattan,Clinton East
50,Manhattan,Clinton West
68,Manhattan,East Chelsea
74,Manhattan,East Harlem North
75,Manhattan,East Harlem South
79,Manhattan,East Village
87,Manhattan,Financial District North
88,Manhattan,Financial District South
90,Manhattan,Flatiron
100,Manhattan,Garment District
103,Manhattan,Governor's Island/Ellis Island/Liberty Island
104,Manhattan,Governor's Island/Ellis Island/Liberty Island
105,Manhattan,Governor's Island/Ellis Island/Liberty Island
107,Manhattan,Gramercy
113,Manhattan,Greenwich Village North
114,Manhattan,Greenwich Village South
116,Manhattan,Hamilton Heights
120,Manhattan,Highbridge Park
125,Manhattan,Hudson Sq
127,Manhattan,Inwood
128,Manhattan,Inwood Hill Park
137,Manhattan,Kips Bay
140,Manhattan,Lenox Hill East
141,Manhattan,Lenox Hill West
142,Manhattan,Lincoln Square East
143,Manhattan,Lincoln Square West
144,Manhattan,Little Italy/NoLiTa
148,Manhattan,Lower East Side
151,Manhattan,Manhattan Valley
152,Manhattan,Manhattanville
153,Manhattan,Marble Hill
158,Manhattan,Meatpacking/West Village West
161,Manhattan,Midtown Center
162,Manhattan,Midtown East
163,Manhattan,Midtown North
164,Manhattan,Midtown South
166,Manhattan,Morningside Heights
170,Manhattan,Murray Hill
186,Manhattan,Penn Station/Madison Sq West
194,Manhattan,Randalls Island
202,Manhattan,Roosevelt Island
209,Manhattan,Seaport
211,Manhattan,SoHo
224,Manhattan,Stuy Town/Peter Cooper Village
229,Manhattan,Sutton Place/Turtle Bay North
230,Manhattan,Times Sq/Theatre District
231,Manhattan,TriBeCa/Civic Center
232,Manhattan,Two Bridges/Seward Park
233,Manhattan,UN/Turtle Bay South
234,Manhattan,Union Sq
236,Manhattan,Upper East Side North
237,Manhattan,Upper East Side South
238,Manhattan,Upper West Side North
239,Manhattan,Upper West Side South
243,Manhattan,Washington Heights North
244,Manhattan,Washington Heights South
246,Manhattan,West Chelsea/Hudson Yards
249,Manhattan,West Village
261,Manhattan,World Trade Center
262,Manhattan,Yorkville East
263,Manhattan,Yorkville West
